Year,Temperature
1850,15.00
1851,15.27
1852,15.37
1853,15.26
1854,15.22
1855,15.34
1856,15.61
1857,15.32
1858,15.29
1859,15.27
1860,15.25
1861,14.99
1862,15.02
1863,15.27
1864,15.04
1865,15.57
1866,15.52
1867,15.23
1868,15.09
1869,15.43
1870,15.22
1871,15.10
1872,15.15
1873,15.23
1874,15.27
1875,15.30
1876,15.24
1877,15.35
1878,15.53
1879,15.35
1880,15.04
1881,15.35
1882,15.51
1883,15.17
1884,15.14
1885,15.08
1886,15.14
1887,14.79
1888,15.23
1889,15.45
1890,15.06
1891,15.11
1892,15.22
1893,14.83
1894,14.85
1895,15.05
1896,15.27
1897,15.31
1898,15.20
1899,15.15
1900,15.16
1901,15.25
1902,15.23
1903,15.23
1904,14.83
1905,15.15
1906,15.08
1907,15.09
1908,14.96
1909,14.82
1910,15.12
1911,14.91
1912,15.16
1913,15.08
1914,15.37
1915,15.25
1916,15.27
1917,14.93
1918,14.93
1919,15.34
1920,15.39
1921,15.34
1922,15.18
1923,15.18
1924,15.23
1925,15.01
1926,15.58
1927,15.18
1928,15.35
1929,15.07
1930,15.18
1931,15.41
1932,15.55
1933,15.29
1934,15.19
1935,15.17
1936,15.14
1937,15.38
1938,15.46
1939,15.40
1940,15.52
1941,15.57
1942,15.73
1943,15.37
1944,15.74
1945,15.60
1946,15.68
1947,15.46
1948,15.46
1949,15.53
1950,15.27
1951,15.12
1952,15.57
1953,15.54
1954,15.30
1955,15.61
1956,15.33
1957,15.40
1958,15.79
1959,15.56
1960,15.45
1961,15.53
1962,15.50
1963,15.42
1964,15.37
1965,15.35
1966,15.28
1967,15.31
1968,15.25
1969,15.35
1970,15.59
1971,15.36
1972,15.27
1973,15.72
1974,15.35
1975,15.46
1976,15.41
1977,15.64
1978,15.55
1979,15.60
1980,15.78
1981,15.95
1982,15.52
1983,15.90
1984,15.71
1985,15.71
1986,15.68
1987,15.77
1988,15.95
1989,15.53
1990,15.80
1991,15.84
1992,15.88
1993,15.78
1994,15.68
1995,15.94
1996,15.71
1997,15.69
1998,16.01
1999,15.85
2000,15.73
2001,15.87
2002,16.11
2003,16.11
2004,16.03
2005,16.19
2006,16.02
2007,16.32
2008,15.69
2009,16.10
2010,16.17
2011,15.98
2012,15.92
2013,16.11
2014,16.18
2015,16.24
2016,16.59
2017,16.47
2018,16.28
2019,16.38
2020,16.61
2021,16.26
2022,16.36
2023,16.32
2024,16.73
2025,16.74
2026,16.55
